State,Year,Deaths
Alabama,1999,195
Alabama,2000,232
Alabama,2001,253
Alabama,2002,248
Alabama,2003,255
Alabama,2004,327
Alabama,2005,332
Alabama,2006,466
Alabama,2007,554
Alabama,2008,646
Alabama,2009,688
Alabama,2010,585
Alabama,2011,605
Alabama,2012,632
Alabama,2013,648
Alabama,2014,800
Alabama,2015,810
Alaska,1999,56
Alaska,2000,54
Alaska,2001,72
Alaska,2002,85
Alaska,2003,86
Alaska,2004,92
Alaska,2005,85
Alaska,2006,85
Alaska,2007,75
Alaska,2008,132
Alaska,2009,133
Alaska,2010,84
Alaska,2011,107
Alaska,2012,132
Alaska,2013,110
Alaska,2014,127
Alaska,2015,127
Arizona,1999,557
Arizona,2000,559
Arizona,2001,598
Arizona,2002,667
Arizona,2003,739
Arizona,2004,803
Arizona,2005,849
Arizona,2006,959
Arizona,2007,981
Arizona,2008,853
Arizona,2009,1041
Arizona,2010,1141
Arizona,2011,1118
Arizona,2012,1206
Arizona,2013,1304
Arizona,2014,1274
Arizona,2015,1351
Arkansas,1999,121
Arkansas,2000,151
Arkansas,2001,131
Arkansas,2002,190
Arkansas,2003,203
Arkansas,2004,249
Arkansas,2005,286
Arkansas,2006,307
Arkansas,2007,326
Arkansas,2008,390
Arkansas,2009,384
Arkansas,2010,374
Arkansas,2011,375
Arkansas,2012,398
Arkansas,2013,343
Arkansas,2014,377
Arkansas,2015,425
California,1999,3091
California,2000,2301
California,2001,1507
California,2002,3418
California,2003,3614
California,2004,3681
California,2005,3821
California,2006,4026
California,2007,4178
California,2008,4147
California,2009,4290
California,2010,4258
California,2011,4429
California,2012,4304
California,2013,4747
California,2014,4816
California,2015,5025
Colorado,1999,375
Colorado,2000,372
Colorado,2001,444
Colorado,2002,474
Colorado,2003,529
Colorado,2004,548
Colorado,2005,640
Colorado,2006,660
Colorado,2007,747
Colorado,2008,760
Colorado,2009,784
Colorado,2010,676
Colorado,2011,852
Colorado,2012,826
Colorado,2013,864
Colorado,2014,917
Colorado,2015,893
Connecticut,1999,330
Connecticut,2000,336
Connecticut,2001,326
Connecticut,2002,377
Connecticut,2003,338
Connecticut,2004,360
Connecticut,2005,352
Connecticut,2006,458
Connecticut,2007,444
Connecticut,2008,397
Connecticut,2009,397
Connecticut,2010,372
Connecticut,2011,416
Connecticut,2012,451
Connecticut,2013,600
Connecticut,2014,639
Connecticut,2015,827
Delaware,1999,55
Delaware,2000,60
Delaware,2001,70
Delaware,2002,85
Delaware,2003,88
Delaware,2004,92
Delaware,2005,67
Delaware,2006,83
Delaware,2007,102
Delaware,2008,125
Delaware,2009,139
Delaware,2010,147
Delaware,2011,166
Delaware,2012,150
Delaware,2013,170
Delaware,2014,204
Delaware,2015,208
District of Columbia,1999,55
District of Columbia,2000,84
District of Columbia,2001,111
District of Columbia,2002,70
District of Columbia,2003,119
District of Columbia,2004,109
District of Columbia,2005,94
District of Columbia,2006,129
District of Columbia,2007,90
District of Columbia,2008,77
District of Columbia,2009,58
District of Columbia,2010,90
District of Columbia,2011,94
District of Columbia,2012,85
District of Columbia,2013,113
District of Columbia,2014,106
District of Columbia,2015,130
Florida,1999,1061
Florida,2000,1237
Florida,2001,1833
Florida,2002,2041
Florida,2003,2153
Florida,2004,2408
Florida,2005,2664
Florida,2006,2928
Florida,2007,2936
Florida,2008,3097
Florida,2009,3193
Florida,2010,3181
Florida,2011,3033
Florida,2012,2697
Florida,2013,2603
Florida,2014,2804
Florida,2015,3377
Georgia,1999,347
Georgia,2000,429
Georgia,2001,591
Georgia,2002,631
Georgia,2003,684
Georgia,2004,730
Georgia,2005,820
Georgia,2006,912
Georgia,2007,973
Georgia,2008,977
Georgia,2009,1043
Georgia,2010,1124
Georgia,2011,1112
Georgia,2012,1115
Georgia,2013,1160
Georgia,2014,1268
Georgia,2015,1370
Hawaii,1999,83
Hawaii,2000,64
Hawaii,2001,83
Hawaii,2002,85
Hawaii,2003,102
Hawaii,2004,128
Hawaii,2005,143
Hawaii,2006,131
Hawaii,2007,142
Hawaii,2008,129
Hawaii,2009,148
Hawaii,2010,154
Hawaii,2011,189
Hawaii,2012,159
Hawaii,2013,167
Hawaii,2014,174
Hawaii,2015,175
Idaho,1999,66
Idaho,2000,70
Idaho,2001,99
Idaho,2002,123
Idaho,2003,118
Idaho,2004,113
Idaho,2005,118
Idaho,2006,147
Idaho,2007,133
Idaho,2008,152
Idaho,2009,181
Idaho,2010,184
Idaho,2011,199
Idaho,2012,188
Idaho,2013,217
Idaho,2014,218
Idaho,2015,224
Illinois,1999,872
Illinois,2000,910
Illinois,2001,930
Illinois,2002,1030
Illinois,2003,872
Illinois,2004,1080
Illinois,2005,1140
Illinois,2006,1423
Illinois,2007,1239
Illinois,2008,1412
Illinois,2009,1427
Illinois,2010,1344
Illinois,2011,1459
Illinois,2012,1667
Illinois,2013,1607
Illinois,2014,1736
Illinois,2015,1872
Indiana,1999,251
Indiana,2000,289
Indiana,2001,348
Indiana,2002,345
Indiana,2003,498
Indiana,2004,606
Indiana,2005,665
Indiana,2006,773
Indiana,2007,827
Indiana,2008,869
Indiana,2009,929
Indiana,2010,964
Indiana,2011,1006
Indiana,2012,1056
Indiana,2013,1122
Indiana,2014,1233
Indiana,2015,1310
Iowa,1999,59
Iowa,2000,79
Iowa,2001,90
Iowa,2002,101
Iowa,2003,110
Iowa,2004,132
Iowa,2005,154
Iowa,2006,199
Iowa,2007,211
Iowa,2008,214
Iowa,2009,213
Iowa,2010,258
Iowa,2011,265
Iowa,2012,268
Iowa,2013,287
Iowa,2014,273
Iowa,2015,332
Kansas,1999,100
Kansas,2000,112
Kansas,2001,148
Kansas,2002,189
Kansas,2003,197
Kansas,2004,238
Kansas,2005,284
Kansas,2006,292
Kansas,2007,294
Kansas,2008,241
Kansas,2009,318
Kansas,2010,288
Kansas,2011,317
Kansas,2012,341
Kansas,2013,356
Kansas,2014,349
Kansas,2015,349
Kentucky,1999,215
Kentucky,2000,257
Kentucky,2001,370
Kentucky,2002,451
Kentucky,2003,588
Kentucky,2004,559
Kentucky,2005,662
Kentucky,2006,766
Kentucky,2007,722
Kentucky,2008,779
Kentucky,2009,786
Kentucky,2010,1036
Kentucky,2011,1099
Kentucky,2012,1126
Kentucky,2013,1049
Kentucky,2014,1128
Kentucky,2015,1332
Louisiana,1999,246
Louisiana,2000,335
Louisiana,2001,351
Louisiana,2002,468
Louisiana,2003,630
Louisiana,2004,656
Louisiana,2005,752
Louisiana,2006,800
Louisiana,2007,862
Louisiana,2008,686
Louisiana,2009,623
Louisiana,2010,616
Louisiana,2011,618
Louisiana,2012,588
Louisiana,2013,836
Louisiana,2014,810
Louisiana,2015,901
Maine,1999,70
Maine,2000,62
Maine,2001,92
Maine,2002,147
Maine,2003,134
Maine,2004,145
Maine,2005,168
Maine,2006,166
Maine,2007,161
Maine,2008,162
Maine,2009,182
Maine,2010,140
Maine,2011,160
Maine,2012,157
Maine,2013,183
Maine,2014,227
Maine,2015,278
Maryland,1999,660
Maryland,2000,657
Maryland,2001,676
Maryland,2002,759
Maryland,2003,834
Maryland,2004,721
Maryland,2005,696
Maryland,2006,805
Maryland,2007,807
Maryland,2008,731
Maryland,2009,768
Maryland,2010,674
Maryland,2011,731
Maryland,2012,860
Maryland,2013,908
Maryland,2014,1095
Maryland,2015,1320
Massachusetts,1999,512
Massachusetts,2000,484
Massachusetts,2001,714
Massachusetts,2002,736
Massachusetts,2003,876
Massachusetts,2004,704
Massachusetts,2005,867
Massachusetts,2006,1021
Massachusetts,2007,1003
Massachusetts,2008,885
Massachusetts,2009,916
Massachusetts,2010,836
Massachusetts,2011,1017
Massachusetts,2012,976
Massachusetts,2013,1200
Massachusetts,2014,1402
Massachusetts,2015,1851
Michigan,1999,708
Michigan,2000,871
Michigan,2001,955
Michigan,2002,1080
Michigan,2003,1062
Michigan,2004,1208
Michigan,2005,1398
Michigan,2006,1661
Michigan,2007,1542
Michigan,2008,1575
Michigan,2009,1750
Michigan,2010,1723
Michigan,2011,1702
Michigan,2012,1623
