Location,0-24,25-34,35-44,45-54,55+,Total
United States,4110,NSD,9747,9074,NSD,42249
Alabama,37,99,98,58,51,343
Alaska,13,27,22,17,15,94
Arizona,108,199,147,145,170,769
Arkansas,13,36,43,40,37,169
California,212,412,331,389,668,2012
Colorado,67,143,123,103,100,536
Connecticut,60,225,195,218,157,855
Delaware,13,54,30,37,20,154
District of Columbia,NSD,NSD,NSD,NSD,NSD,209
Florida,246,815,716,541,479,2798
Georgia,80,243,195,207,193,918
Hawaii,12,10,15,10,30,77
Idaho,10,29,29,24,27,119
Illinois,183,511,462,442,349,1947
Indiana,69,257,186,168,114,794
Iowa,24,43,39,47,30,183
Kansas,14,29,32,29,42,146
Kentucky,76,219,307,243,144,989
Louisiana,35,89,92,75,55,346
Maine,25,88,84,69,35,301
Maryland,141,463,374,480,363,1821
Massachusetts,165,629,498,412,286,1990
Michigan,153,495,407,381,326,1762
Minnesota,61,110,87,78,60,396
Mississippi,13,44,40,41,42,180
Missouri,116,266,227,171,134,914
Montana,NSD,12,NSD,NSD,11,42
Nebraska,NSD,16,10,NSD,10,44
Nevada,39,74,71,98,126,408
New Hampshire,55,151,107,79,45,437
New Jersey,157,429,292,328,203,1409
New Mexico,38,91,77,67,76,349
New York,319,863,622,665,538,3009
North Carolina,151,451,375,319,209,1506
North Dakota,NSD,13,13,11,NSD,54
Ohio,320,1073,915,750,555,3613
Oklahoma,31,88,106,100,119,444
Oregon,38,66,66,67,75,312
Pennsylvania,245,752,511,427,300,2235
Rhode Island,22,77,55,78,47,279
South Carolina,58,139,153,159,119,628
South Dakota,NSD,14,NSD,NSD,10,42
Tennessee,88,288,279,297,234,1186
Texas,198,330,259,286,302,1375
Utah,41,120,130,91,84,466
Vermont,NSD,NSD,NSD,NSD,NSD,101
Virginia,119,341,273,225,172,1130
Washington,61,153,143,149,203,709
West Virginia,47,181,218,176,111,733
Wisconsin,101,237,212,168,148,866
Wyoming,NSD,NSD,13,NSD,13,50
